Name,Address,City,State,Zip,County,Phone,Administrator,Licensee,Facility Number,Type,Status,Capacity,License Date,GPO
"LA VIDA REAL","11588 VIA RANCHO SAN DIEGO","EL CAJON",CA,92019,"SAN DIEGO","(619) 660-5778","GARCIA, KIMBERLY","LVR SUBTENANT LLC; SRG MANAGMENT LLC",374603565,"RESIDENTIAL CARE ELDERLY",LICENSED,177,12/30/2014,"Premier, Vizient"
"BELMONT VILLAGE SAN RAMON","1000 WALNUT DRIVE","SAN RAMON",CA,94583,"CONTRA COSTA","(925) 242-1000","COONS, JENNIFER","BELMONTVILLAGE SANRAMON TENANTLLC;BELMONTVILLAGELP",79201442,"RESIDENTIAL CARE ELDERLY",LICENSED,176,1/13/2025,"Vizient"
"BEVERLY HILLS LOVING CARE","1019 S. WOOSTER STREET","LOS ANGELES",CA,90035,"LOS ANGELES","(310) 652-3555","LIDA ZARAFSHAN","IRANIAN JEWISH SENIOR CENTER",197603601,"RESIDENTIAL CARE ELDERLY",LICENSED,176,1/8/2003,"None"
"SAVANT OF ALHAMBRA","1 E COMMONWEALTH AVE","ALHAMBRA",CA,91801,"LOS ANGELES","(626) 289-3871","MADELEINE SIEVERT","ALHAMBRA SENIOR VILLA LLC",198603597,"RESIDENTIAL CARE ELDERLY",LICENSED,176,6/1/2023,"None"
"SAVANT OF TARZANA","5711 RESEDA BLVD","TARZANA",CA,91356,"LOS ANGELES","(818) 996-2022","NARINE MERTKHANYAN","SUMMIT TARZANA OPERATIONS, LLC",197610366,"RESIDENTIAL CARE ELDERLY",LICENSED,176,4/1/2023,"None"
"ARARAT GARDENS","1230 EAST WINDSOR ROAD","GLENDALE",CA,91205,"LOS ANGELES","(818) 244-7219","KESHISHYAN, VARSENIK","ARARAT HOME OF LOS ANGELES, INC.",198603605,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,175,3/1/2023,"None"
"1440 BY THE BAY","1440 40TH STREET","EMERYVILLE",CA,94608,"ALAMEDA","(510) 594-8800","HALL, STEPHANIE J","EMERYVILLE SR. HSNG, LLC; ATSC II LLC",19200874,"RESIDENTIAL CARE ELDERLY",LICENSED,175,11/4/2019,"Premier"
"ALMA VIA OF SAN FRANCISCO","ONE THOMAS MORE WAY","SAN FRANCISCO",CA,94132,"SAN FRANCISCO","(415) 337-1339","CLEITUS JONES","ELDER CARE ALLIANCE OF SF, ELDER CARE ALLIANCE",385600270,"RESIDENTIAL CARE ELDERLY",LICENSED,175,10/30/2003,"Vizient"
"ATRIA PARK OF SAN MATEO","2883 S NORFOLK ST","SAN MATEO",CA,94403,"SAN MATEO","(650) 378-3000","BROOKS, THOMAS KIRK","WG HILLSDALE SH LP; ATRIA MANAGEMENT CO LLC",415600133,"RESIDENTIAL CARE ELDERLY",ON PROBATION,175,6/28/2001,"None"
"BELLARA SENIOR LIVING","22400 2ND STREET","HAYWARD",CA,94541,"ALAMEDA","(760) 547-2863","COLLETTE VALENTINE","SRMHAYWARD LLC; INTEGRAL SENIOR LIVING MGMT LLC",19201373,"RESIDENTIAL CARE ELDERLY",LICENSED,175,11/1/2024,"None"
"BELMONT VILLAGE CARDIFF","3535 MANCHESTER AVE","CARDIFF BY THE SEA",CA,92007,"SAN DIEGO","(760) 436-8900","ASHLEY MARCELLUS","BELMONT VILLAGE CARDIFF TENANT & LP; BELMONT THREE",374603231,"RESIDENTIAL CARE ELDERLY",LICENSED,175,8/1/2012,"Vizient"
"BELMONT VILLAGE LOS GATOS","5121 UNION AVENUE","SAN JOSE",CA,95124,"SANTA CLARA","(408) 559-3333","MARTINEZ, RADHIKA","BELMONT UNION AVENUE TENANT LLC; BELMONT THREE LLC",435202856,"RESIDENTIAL CARE ELDERLY",LICENSED,175,3/24/2022,"None"
"CEDARS ASSISTED LIVING, THE","17300 ROSCOE BLVD.","NORTHRIDGE",CA,91325,"LOS ANGELES","(818) 344-2042","STEPHAN SARMAZIAN","CEDARS ASSISTED LIVING, INC.",197608267,"RESIDENTIAL CARE ELDERLY",LICENSED,175,12/16/2011,"Premier"
"CHATEAU III","175 CLEAVELAND ROAD","PLEASANT HILL",CA,94523,"CONTRA COSTA","(925) 935-1001","TRACEY INGLEMAN","CARLTON SENIOR LIVING, LLC",75600194,"RESIDENTIAL CARE ELDERLY",LICENSED,175,8/1/1997,"Premier"
"EVEREST AT OCEANSIDE","3500 LAKE BLVD.","OCEANSIDE",CA,92056,"SAN DIEGO","(760) 414-9411","MCBRIDE, FERLINA","EVEREST OCEANSIDE BLESSING STAR, LLC;EVEREST SR. L",374604806,"RESIDENTIAL CARE ELDERLY",LICENSED,175,11/4/2024,"None"
"GOLDEN POND RETIREMENT COMMUNITY","3415 MAYHEW ROAD","SACRAMENTO",CA,95827,"SACRAMENTO","(916) 369-8967","RYAN NAKAO","WALGENBACH, BRIAN & GILL, DOUG",347000985,"RESIDENTIAL CARE ELDERLY",LICENSED,175,2/5/1999,"Premier, Vizient"
"IVY PARK AT SIMI VALLEY","5300 E. LOS ANGELES AVE.","SIMI VALLEY",CA,93063,"VENTURA","(805) 583-3500","BOGOYEVAC, LEA","WELL OAK TENANT LLC;OAKMONT MANAGEMENT GROUP LLC",565850299,"RESIDENTIAL CARE ELDERLY",LICENSED,175,4/10/2023,"Vizient"
"QUAIL PARK RETIREMENT VILLAGE, LLC","4520 W CYPRESS AVE","VISALIA",CA,93277,"TULARE","(559) 624-3500","SIDOTI,JAMES","QP RETIREMENT VILLAGE,LLC & LIVING CARE MANAGEMENT",547201356,"RESIDENTIAL CARE ELDERLY",LICENSED,175,11/8/2001,"Premier"
"SONRISA VILLA INC.","708 E. 5TH ST.","HOLTVILLE",CA,92250,"IMPERIAL","(760) 756-3285","OSCAR CHAVEZ","SONRISA VILLA INC.",134604417,"RESIDENTIAL CARE ELDERLY",LICENSED,175,9/7/2021,"Premier"
"STUDIO ROYALE","3975 OVERLAND AVENUE","CULVER CITY",CA,90232,"LOS ANGELES","(310) 836-5854","LEWIS,ERNEST D.","STUDIO ROYALE, LLC; CADENCE SL ROYALE, LLC",198601566,"RESIDENTIAL CARE ELDERLY",LICENSED,175,3/15/2013,"Premier, Vizient"
"SAVANT OF SANTA MONICA","1447 17TH STREET","SANTA MONICA",CA,90404,"LOS ANGELES","(310) 829-5904","NATHANIEL VENZON","SANTA MONICA OPERATIONS LLC",198320378,"RESIDENTIAL CARE ELDERLY",LICENSED,174,5/18/2023,"None"
"WESTCHESTER VILLA","220 W. MANCHESTER BLVD.","INGLEWOOD",CA,90301,"LOS ANGELES","(310) 673-1093","EVANGELINE AGATEP","AMERICARE GROUP, INC.",198205367,"RESIDENTIAL CARE ELDERLY",LICENSED,174,8/13/2007,"Premier"
"FOUNTAINGROVE LODGE","4210 THOMAS LAKE HARRIS DRIVE","SANTA ROSA",CA,95403,"SONOMA","(707) 576-1101","LEONE, MEGAN E.","WELL OAK CCRC TENANT LLC; OAKMONT MANAGEMENT GROUP",496804113,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,173,7/1/2023,"Vizient"
"RANCHO VISTA SENIOR LIVING","760 EAST BOBIER DRIVE","VISTA",CA,92084,"SAN DIEGO","(760) 941-1480","DOMINGO, ELIZABETH","PACIFICA EAST LAKE LLC; VISTA MGR LLC",374604134,"RESIDENTIAL CARE ELDERLY",LICENSED,172,4/29/2019,"Premier"
"SUNLIT GARDENS ASSISTED LIVING","9428 19TH STREET","ALTA LOMA",CA,91701,"SAN BERNARDINO","(909) 481-2600","DEL JUNCO, TIRSO","CDR RNCHO CUC TRS LLC &SUNLIT GARDENS, LLC",365530159,"RESIDENTIAL CARE ELDERLY",LICENSED,172,3/14/2024,"None"
"SUNLIT GARDENS ASSISTED LIVING","9428 19TH STREET","ALTA LOMA",CA,91701,"SAN BERNARDINO","(909) 481-2600","GONZALEZ, LUIS","SUNLIT GARDENS, LLC",365530374,"RESIDENTIAL CARE ELDERLY",PENDING,172,,"None"
"BELLA VILLAGGIO","40235 PORTOLA AVE","PALM DESERT",CA,92260,"RIVERSIDE","(760) 607-5200","JIM GERMYN","PDBV LLC; LEISURE CARE LLC",331880645,"RESIDENTIAL CARE ELDERLY",LICENSED,170,7/12/2019,"Premier, Vizient"
"BRITTANY HOUSE","5401 E CENTRALIA ST","LONG BEACH",CA,90808,"LOS ANGELES","(562) 421-4717","ERIN REHBEIN","BRITTANY HEALTHCARE LLC",198320417,"RESIDENTIAL CARE ELDERLY",LICENSED,170,2/9/2024,"Premier"
"IVY PARK AT HAYWARD","1200 RUSSELL WAY","HAYWARD",CA,94541,"ALAMEDA","(510) 727-1700","NAENSILA RANDHAWA","HAYWARD SR. HSNG. I OPCO LLC;OAKMONT MGMT GRP LLC",19200922,"RESIDENTIAL CARE ELDERLY",LICENSED,170,10/9/2020,"None"
"MERIDIAN AT LAKE SAN MARCOS, THE","1177 SAN MARINO DR BLDG 1 & 2","SAN MARCOS",CA,92078,"SAN DIEGO","(760) 510-7500","AMY BANAGA","PACIFICA L 24 LLC; SAN MARCOS MGR LLC",374603339,"RESIDENTIAL CARE ELDERLY",LICENSED,170,3/14/2014,"Premier"
"OAKMONT OF CHINO HILLS","14837 PEYTON DRIVE","CHINO HILLS",CA,91709,"SAN BERNARDINO","(909) 606-3010","MEDRANO, JANETH","OAKMONT SR LVNG CHINO HILLS OPCO;OAKMONT MGMT GROU",361881162,"RESIDENTIAL CARE ELDERLY",LICENSED,170,9/7/2021,"Vizient"
"PARK VIEW ESTATES","11360 WARNER AVE.","FOUNTAIN VALLEY",CA,92708,"ORANGE","(949) 333-3486","MARIA ARRIAGA","FOUNTAIN VALLEY OPCO LLC;SUNSHINE RETIREMENT ET AL",306005798,"RESIDENTIAL CARE ELDERLY",LICENSED,170,1/20/2021,"Premier"
"POINTE AT SUMMIT HILLS, THE","4501 UPLAND POINT DRIVE","BAKERSFIELD",CA,93306,"KERN","(661) 447-4800","PERLA PENA","SUMMIT HILLS 85 LLC; THE POINTE AT BAKERSFIELD LLC",157206770,"RESIDENTIAL CARE ELDERLY",LICENSED,170,4/8/2016,"Premier"
"POINTE AT SUMMIT HILLS, THE","4501 UPLAND POINT DRIVE","BAKERSFIELD",CA,93306,"KERN","(323) 217-7877","PENA, PERLA","POINT AT BAKERSFIELD LLC, THE",157209551,"RESIDENTIAL CARE ELDERLY",PENDING,170,,"None"
"RESERVE AT THOUSAND OAKS, THE","3575 N. MOORPARK ROAD","THOUSAND OAKS",CA,91360,"LOS ANGELES","(805) 492-2471","SPENCER, ELIZABETH","MSL COMMUNITY MANAGEMENT LLC/THE RESERVE MSL LLC",197609632,"RESIDENTIAL CARE ELDERLY",LICENSED,170,7/30/2018,"None"
"TERRAZA COURT SENIOR LIVING","10955 WASHINGTON BLVD","CULVER CITY",CA,90232,"LOS ANGELES","(310) 838-7800","KAVANAUGH, BRITTANY","TERRAZA COURT SENIOR LIVING LLC",198320456,"RESIDENTIAL CARE ELDERLY",LICENSED,170,10/22/2024,"Premier"
"WELLQUEST OF ELK GROVE","8871 E STOCKTON BLVD","ELK GROVE",CA,95624,"SACRAMENTO","(916) 689-1000","ELENA CUEVAS","WELLQUEST ELK GROVE TENANTCO LLC; WELLQUEST LIVING",342700722,"RESIDENTIAL CARE ELDERLY",LICENSED,170,9/23/2020,"Premier"
"IVY AT GOLDEN GATE, THE","1601 19TH AVENUE","SAN FRANCISCO",CA,94122,"SAN FRANCISCO","(415) 664-6264","RAUKHMAN, KATHERINE","WELL OAK TENANT LLC;OAKMONT MANAGEMENT GROUP LLC",385601148,"RESIDENTIAL CARE ELDERLY",LICENSED,168,8/30/2023,"None"
"PARK REGENCY RETIREMENT CENTER","1750 W. LA HABRA BLVD.","LA HABRA",CA,90631,"ORANGE","(714) 441-1164","ASHLEY WILLETT","JOHNSON, FRANK D. & BAUMAN, IRVING",306000059,"RESIDENTIAL CARE ELDERLY",LICENSED,168,8/30/1994,"Premier"
"CITY VIEW LA, LLC","515 N LA BREA AVE","LOS ANGELES",CA,90036,"LOS ANGELES","(323) 938-2131","GINSBERG, MENDY","CITY VIEW LA, LLC",198603220,"RESIDENTIAL CARE ELDERLY",LICENSED,166,8/27/2019,"Premier"
"MERRILL GARDENS AT CAMPBELL","2115 S WINCHESTER BLVD","CAMPBELL",CA,95008,"SANTA CLARA","(408) 370-6454","BRADLEY, BURGOYNE","SHI-III MG GP, SHI-III CAMPBELL; MERRILL GARDENS",435202572,"RESIDENTIAL CARE ELDERLY",LICENSED,166,10/9/2017,"Premier, Vizient"
"RENAISSANCE VILLAGE MURRIETA","24271 JACKSON AVENUE","MURRIETA",CA,92562,"RIVERSIDE","(951) 319-8243","BRIAN TAUBE","RVMUR OPERATIONS CO. LLC/RENAISSANCE VILLAGES INC.",331800083,"RESIDENTIAL CARE ELDERLY",LICENSED,166,1/20/2017,"None"
"BELMONT VILLAGE CALABASAS","24141 VENTURA BLVD","CALABASAS",CA,91302,"LOS ANGELES","(818) 222-2600","NELSON, NANCY","BELMONT VILLAGE CALABASAS LLC; BELMONT THREE LLC",197609518,"RESIDENTIAL CARE ELDERLY",LICENSED,165,3/23/2018,"Vizient"
"BELMONT VILLAGE CALABASAS","24141 VENTURA BLVD.","CALABASAS",CA,91302,"LOS ANGELES","(818) 222-2600","NELSON, NANCU","BELMONT VILLAGE CALABASAS CPT;OPERATOR LLC & BELMO",195850579,"RESIDENTIAL CARE ELDERLY",PENDING,165,,"Vizient"
"CADENCE MILLBRAE","1201 BROADWAY","MILLBRAE",CA,94030,"SAN MATEO","(650) 742-9150","JOAN NEWMAN","1201 BROADWAY-OPERATOR LLC;CADENCE SL MILLBRAE LLC",415601039,"RESIDENTIAL CARE ELDERLY",LICENSED,165,8/1/2018,"Premier, Vizient"
"CHATEAU PLEASANT HILL","2726-2770 PLEASANT HILL RD.","PLEASANT HILL",CA,94523,"CONTRA COSTA","(925) 935-1660","JOHN MCCRAW","CARLTON SENIOR LIVING, LLC",71440541,"RESIDENTIAL CARE ELDERLY",LICENSED,165,10/18/1988,"None"
"OCEANSIDE SENIOR LIVING","5508 AVENIDA PACIFICA WAY","OCEANSIDE",CA,92057,"SAN DIEGO","(760) 978-6602","JOHNSON, KRISTELANGELICA","HRSE PACFICIA SENIOR LIVING OCEANSIDE TRS LLC",374604300,"RESIDENTIAL CARE ELDERLY",LICENSED,165,10/7/2020,"Premier"
"BROOKDALE BROOKHURST","15302 BROOKHURST ST","WESTMINSTER",CA,92683,"ORANGE","(714) 775-6775","JOHN GOODWIN","SUMMERVILLE 13 LLC; EMERITUS CORPORATION",306002962,"RESIDENTIAL CARE ELDERLY",LICENSED,164,7/14/2005,"Premier, Vizient"
"IVY PARK AT SEVEN OAKS","4301 AND 4225 BUENA VISTA ROAD","BAKERSFIELD",CA,93311,"KERN","(661) 837-1337","BRADLEY, PAMELA","WELL IVY 6 TENANT LLC;OAKMONT MANAGEMENT GROUP LLC",157209257,"RESIDENTIAL CARE ELDERLY",LICENSED,164,1/25/2023,"None"
"VALLEY VISTA SENIOR LIVING","7040 VAN NUYS BLVD","VAN NUYS",CA,91405,"LOS ANGELES","(818) 906-4400","ELIZABETH J WHITTINGTON","VALLEY VISTA SENIOR LIVING; SEASONS MANAGEMENT LLC",197609969,"RESIDENTIAL CARE ELDERLY",LICENSED,164,4/9/2020,"None"
"WESTMONT OF LA MESA","9000 MURRAY DR","LA MESA",CA,91942,"SAN DIEGO","(619) 369-9700","GARCIA, KIMBERLY","WESTMONT MGR GP LLC,GP OF LM OPS LP;WESTMONT LVNG",374604079,"RESIDENTIAL CARE ELDERLY",LICENSED,164,9/25/2019,"None"
"IVY PARK AT CERRITOS","11000 NEW FALCON WAY","CERRITOS",CA,90703,"LOS ANGELES","(562) 865-9500","LAURA RODRIGUEZ","CERRITOS SUBTENANT LP;OAKMONT MGMT. GROUP LLC",198602608,"RESIDENTIAL CARE ELDERLY",LICENSED,163,7/2/2018,"Vizient"
"CEDAR CREEK SENIOR LIVING","500 N. WESTBERRY BLVD.","MADERA",CA,93637,"MADERA","(559) 673-2345","ELDRIDGE, KIMBERLY","GAHC4 MADERA CA TRS SUB; COGIR SL CEDAR CREEK LLC",207209043,"RESIDENTIAL CARE ELDERLY",LICENSED,162,7/1/2020,"Premier"
"IVY PARK AT SAN RAMON","9199 FIRCEST LANE","SAN RAMON",CA,94583,"CONTRA COSTA","(949) 744-5200","MORGAN, OREISHA","WELL IVY 6 TENANT LLC;OAKMONT MANAGEMENT GROUP LLC",79201116,"RESIDENTIAL CARE ELDERLY",LICENSED,162,4/8/2022,"Vizient"
"RIDGE AT WESTLAKE VILLAGE, THE","31200 CEDAR VALLEY DRIVE","WESTLAKE VILLAGE",CA,91362,"LOS ANGELES","(805) 572-7705","LARIOS, BRIAN","SHP VI HOLDEN WESTLAKE LLC;OAKMONT MGMT. GROUP LLC",195850578,"RESIDENTIAL CARE ELDERLY",LICENSED,162,1/31/2025,"None"
"SUMMERSET LINCOLN ASSISTED LIVING","550 2ND ST","LINCOLN",CA,95648,"PLACER","(916) 644-3151","MEGAN GALLAGHER","SUMMERSET LINCOLN ASSISTED LIVING LLC",312700555,"RESIDENTIAL CARE ELDERLY",LICENSED,162,1/28/2020,"None"
"TERRACES AT BETHANY, THE","200 VERA AVENUE","RIPON",CA,95366,"SAN JOAQUIN","(209) 253-5127","VENTURA, JOSE","BETHANY HOME SOCIETY OF SAN JOAQUIN COUNTY, INC",392701525,"RESIDENTIAL CARE ELDERLY",PENDING,161,,"None"
"MERCY RETIREMENT & CARE CENTER","3431 FOOTHILL BOULEVARD","OAKLAND",CA,94601,"ALAMEDA","(510) 534-8540","MCCARRON, KATHLEEN","MERCY RET & CARE CTR AND ELDER CARE ALLIANCE",15600255,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,160,3/11/1999,"Premier, Vizient"
"ALMAVIA OF SAN RAFAEL","515 NORTHGATE DRIVE","SAN RAFAEL",CA,94903,"MARIN","(415) 491-1900","ANGELA BOUCHER-TURIN","ELDER CARE ALL. OF SAN RAFAEL/ELDER CARE ALLIANCE",216801868,"RESIDENTIAL CARE ELDERLY",LICENSED,160,4/28/2006,"Premier"
"ATRIA NEWPORT PLAZA","1455 SUPERIOR AVE","NEWPORT BEACH",CA,92663,"ORANGE","(949) 645-6833","GONZALEZ, JOHANNA","VSL GP II LLC, GP OF VAOC NEWPORT PLAZA LP; ATRIA",306005449,"RESIDENTIAL CARE ELDERLY",LICENSED,160,1/16/2019,"None"
"ATRIA SANTA CLARITA","24431 LYONS AVE","SANTA CLARITA",CA,91321,"LOS ANGELES","(661) 254-9933","APRIL PRINCESA","ARHC SVSCLSA01 TRS LLC; ATRIA MANAGEMENT CO LLC",197608685,"RESIDENTIAL CARE ELDERLY",LICENSED,160,2/2/2015,"Premier, Vizient"
"ATRIA SUNNYVALE","175 E REMINGTON DR","SUNNYVALE",CA,94087,"SANTA CLARA","(408) 738-3410","FLAVIO SILVA","WG SUNNYVALE SH LP; ATRIA MANAGEMENT CO LLC",435200731,"RESIDENTIAL CARE ELDERLY",LICENSED,160,6/25/1999,"Vizient"
"BELMONT VILLAGE BURBANK","455 E ANGELENO AVE","BURBANK",CA,91501,"LOS ANGELES","(818) 972-2405","RODRIGUEZ, MARY JANE","BELMONT VILLAGE BURBANK TENANT; BELMONT THREE LLC",197608468,"RESIDENTIAL CARE ELDERLY",LICENSED,160,6/1/2013,"Vizient"
"BROOKDALE VALLEY VIEW","5900 CHAPMAN AVE","GARDEN GROVE",CA,92845,"ORANGE","(714) 898-3524","JOHN GOODWIN","SUMMERVILLE AT COBBCO INC; EMERITUS CORPORATION",306001000,"RESIDENTIAL CARE ELDERLY",LICENSED,160,6/24/1999,"Premier, Vizient"
"CASA DE MODESTO","1745 ELDENA WAY","MODESTO",CA,95350,"STANISLAUS","(925) 594-1122","ISSAKHANI, STEPHANY","NOBLE HEALTHCARE AT HOME INC",502701450,"RESIDENTIAL CARE ELDERLY",LICENSED,160,8/30/2024,"Premier, Vizient"
"CONCORD ROYALE","4230 CLAYTON ROAD","CONCORD",CA,94521,"CONTRA COSTA","(925) 676-3410","KUHLMANN, MARIA CONNIE","BERG SENIOR SERVICES, LLC.",75600578,"RESIDENTIAL CARE ELDERLY",LICENSED,160,5/13/2002,"Vizient"
"ESKATON VILLAGE GRASS VALLEY","625 ESKATON CIR","GRASS VALLEY",CA,95945,"NEVADA","(530) 273-1778","ALICIA RIST","ESKATON PROPERTIES INC",297001933,"RESIDENTIAL CARE ELDERLY",LICENSED,160,5/20/2002,"Premier"
"GOLDEN MANOR RETIREMENT CENTER","1109 WEST BEVERLY BLVD.","MONTEBELLO",CA,90640,"LOS ANGELES","(323) 724-3870","MARIA JACOBO","1109 WEST BEVERLY BLVD., LLC",197606171,"RESIDENTIAL CARE ELDERLY",LICENSED,160,5/13/2005,"None"
"LAKEWOOD PARK MANOR","12045 LAKEWOOD BLVD","DOWNEY",CA,90242,"LOS ANGELES","(562) 923-4417","NARINE MERTKHANYAN","LAKEWOOD RESIDENTIAL CARE LLC",198602950,"RESIDENTIAL CARE ELDERLY",LICENSED,160,7/12/2018,"Premier"
"LEGACY OAKS OF SACRAMENTO","1922 MORSE AVENUE","SACRAMENTO",CA,95825,"SACRAMENTO","(559) 313-8062","JONATHAN AGUILAR","MORSE INVESTMENT PARTNERS LLC;CSG SR LVNG MGMT LLC",342702896,"RESIDENTIAL CARE ELDERLY",LICENSED,160,12/20/2024,"Premier"
"MEADOWS SENIOR LIVING, THE","9325 EAST STOCKTON BLVD.","ELK GROVE",CA,95624,"SACRAMENTO","(916) 877-7835","SELLERS, ALYSSA","VOP THE MEADOWS LP; MILESTONE RETIREMENT COMMUNITI",342701306,"RESIDENTIAL CARE ELDERLY",LICENSED,160,1/23/2024,"Premier"
"NOVELLUS STOCKTON","6037 N. PERSHING AVENUE","STOCKTON",CA,95207,"SAN JOAQUIN","(209) 951-2030","MONARES, GRETCHEN","NOV PERSHING LLC",392700997,"RESIDENTIAL CARE ELDERLY",LICENSED,160,12/17/2021,"None"
"OAKMONT OF ESCONDIDO HILLS","3012 BEAR VALLEY PARKWAY","ESCONDIDO HILLS",CA,92025,"SAN DIEGO","(760) 735-8084","BRENNAN, JOHN","OAKMONT SR. LVMG. OF ESCONDIDO OPCO; OAKMONT MGMT",374604457,"RESIDENTIAL CARE ELDERLY",LICENSED,160,8/13/2021,"Vizient"
"PARK LANE, THE","200 GLENWOOD CIR","MONTEREY",CA,93940,"MONTEREY","(831) 373-0101","NATASHA PRUNTY","PAC MONTEREY INC,GP OF P MONT LP;PARK LANE MGR LLC",275294322,"RESIDENTIAL CARE ELDERLY",LICENSED,160,2/23/2010,"Premier"
"REGENCY GRAND AT WEST COVINA","150 SOUTH GRAND AVENUE","WEST COVINA",CA,91791,"LOS ANGELES","(626) 332-3344","MIMS-BURRIS, MARY","KRE-RENEW TIGER CUBS REGENCY GRAND OPERATION ET AL",198603428,"RESIDENTIAL CARE ELDERLY",LICENSED,160,4/19/2021,"Premier"
"SAVANT OF GARDEN GROVE","5900 CHAPMAN AVE","GARDEN GROVE",CA,92845,"ORANGE","(714) 898-3524","ZENOU, ADAM","GARDEN GROVE OPERATIONS, LLC",306006709,"RESIDENTIAL CARE ELDERLY",PENDING,160,,"Vizient"
"SILVERGATE SAN MARCOS RETIREMENT RESIDENCE","1550/1560 SECURITY PLACE","SAN MARCOS",CA,92078,"SAN DIEGO","(760) 744-4484","JOAN RINK-CARROLL","AMERICARE HEALTH & RETIREMENT, INC. A CALIF. CORP.",374600026,"RESIDENTIAL CARE ELDERLY",LICENSED,160,5/26/1994,"Premier"
"TREVISTA CONCORD","1081 MOHR LN","CONCORD",CA,94518,"CONTRA COSTA","(925) 798-3900","CLAWSON, DAVID J","TREG CONCORD OP DIR,LLC;BULLARDS BAR,LLC",79200855,"RESIDENTIAL CARE ELDERLY",LICENSED,160,11/26/2019,"Vizient"
"VACAVILLE SENIOR ASSISTED LIVING, LLC","2061 PEABODY RD","VACAVILLE",CA,95687,"SOLANO","(323) 902-6000","SAMANIEGO, AGUSTIN","VACAVILLE SENIOR ASSISTED LIVING, LLC",486804297,"RESIDENTIAL CARE ELDERLY",PENDING,160,,"Vizient"
"WESTMONT OF CULVER CITY","11141 WASHINGTON BLVD","CULVER CITY",CA,90232,"LOS ANGELES","(310) 736-4118","DAWN M SMITH","WESTMONT LIV INC;WM CULVER CITY MGR;GP CULVER CITY",198320402,"RESIDENTIAL CARE ELDERLY",LICENSED,160,7/30/2024,"Premier"
"A1 DEL MONTE STOCKTON","517 E. FULTON STREET","STOCKTON",CA,95204,"SAN JOAQUIN","(209) 910-5910","SANDEEP SAINI","A1 DEL MONTE INC.",392700993,"RESIDENTIAL CARE ELDERLY",LICENSED,158,7/1/2021,"Premier"
"AMBASSADOR GARDEN","7324 CANBY AVENUE","RESEDA",CA,91335,"LOS ANGELES","(818) 705-3404","SOFI DRUKER","CANBY RETIREMENT, CORP.",197603652,"RESIDENTIAL CARE ELDERLY",LICENSED,158,3/4/2002,"None"
"BELMONT VILLAGE THOUSAND OAKS","3680 N MOORPARK RD","THOUSAND OAKS",CA,91360,"VENTURA","(805) 496-9301","CYNTIA DRACHENBERG","BMSH I BELMONT TO GP LLC; BELMONT THREE LLC",565802433,"RESIDENTIAL CARE ELDERLY",LICENSED,158,6/23/2017,"Premier, Vizient"
"BELMONT VILLAGE THOUSAND OAKS","3680 N MOORPARK RD","THOUSAND OAKS",CA,91360,"VENTURA","(805) 496-9301","DRACHENBERG, CYNTIA","MOORPARK RD LLC; BELMONT VILLAGE & BELMONT THREE",565850581,"RESIDENTIAL CARE ELDERLY",PENDING,158,,"Vizient"
"NAZARETH HOUSE","3333 MANNING AVENUE","LOS ANGELES",CA,90064,"LOS ANGELES","(310) 839-2361","JOSEPHINE WAZIR","SISTERS OF NAZARETH OF LOS ANGELES, THE",191600500,"RESIDENTIAL CARE ELDERLY",LICENSED,158,5/27/1993,"None"
"VINTAGE GARDENS","540 S. PEACH","FRESNO",CA,93727,"FRESNO","(559) 252-4036","GEBBIA, LOUIS","CENTRAL CALIFORNIA NIKKEI FOUNDATION",107203197,"RESIDENTIAL CARE ELDERLY",LICENSED,158,7/25/2005,"Premier"
"IVY AT BLUE OAKS, THE","275 ROSEVILLE PARKWAY","ROSEVILLE",CA,95678,"PLACER","(916) 432-2878","SWEARINGEN, MICHELLE","BLUE OAKS PROPERTY TENANT LLC;OAKMONT MGMT. GROUP",315920222,"RESIDENTIAL CARE ELDERLY",LICENSED,157,11/21/2024,"None"
"LEISURE GARDEN SENIOR ASSISTED LIVING FACILITY","44523 15TH STREET WEST","LANCASTER",CA,93534,"LOS ANGELES","(661) 941-4578","CRYSTAL BARRIENTOS","MAXICARE SENIOR HOME, LLC",197610032,"RESIDENTIAL CARE ELDERLY",LICENSED,157,12/2/2020,"None"
"BRASWELL'S CHATEAU VILLA","620 E. HIGHLAND AVENUE","REDLANDS",CA,92374,"SAN BERNARDINO","(909) 793-0433","MELANIE NIEZ","BRASWELL, JAMES W",360902129,"RESIDENTIAL CARE ELDERLY",LICENSED,156,8/29/1977,"Premier"
"MERIDIAN AT CHINO","11918 CENTRAL AVENUE","CHINO",CA,91710,"SAN BERNARDINO","(909) 548-2100","ISABEL ENRIQUEZ","HSRE PACIFICA HILLSBOROUGH TRS LLC; HILLSBOROUGH",361880893,"RESIDENTIAL CARE ELDERLY",LICENSED,156,5/28/2020,"Premier"
